name,position,teamname,rawbirthdate,gp,shots,goals,assist1,assist2,points,goals.pp,assist1.pp,assist2.pp,points.pp,goals.ev,assist1.ev,assist2.ev,points.ev,gfev,gaev,gfpp,season.name,ga,gf,team.shots.for,team.shots.against,team.goals,team.assist1,team.assist2,team.points,team.GA,team.GA.EV,team.goals.pp,team.assist1.pp,team.assist2.pp,team.points.pp,team.goals.ev,team.assist1.ev,team.assist2.ev,team.points.ev,pos.clean,BD.Mod,birth.year,draft.end,draft.year,draft.season,draft.eligible
"Clavelle, Brendon",D,"Charlottetown, Islanders",1999-09-10,56,78,0,4,3,7,0,1,1,2,0,3,2,5,33,35,4,2017-18 | Regular Season,54,40,1734,1734,205,189,145,539,206,135,45,44,43,132,141,131,93,365,D,1999-09-10,1999,1999-09-15,2017,2018,N
"MacRae, Riley",LW,"Moncton, Wildcats",1998-03-28,22,20,1,0,2,3,0,0,0,0,0,0,1,1,5,11,0,2017-18 | Regular Season,20,7,1734,1734,233,219,173,625,235,159,66,64,58,188,144,137,109,390,F,1998-03-28,1998,1998-09-15,2016,2018,N
"Tucker, Jack",D,"Moncton, Wildcats",2000-05-26,53,37,2,2,2,6,1,1,0,2,1,1,2,4,22,30,6,2017-18 | Regular Season,37,28,1734,1734,233,219,173,625,235,159,66,64,58,188,144,137,109,390,D,2000-05-26,2000,2000-09-15,2018,2018,Y
"Kreutzer, Gregory",D,"Drummondville, Voltigeurs",2000-05-24,53,37,1,6,2,9,0,0,0,0,1,6,2,9,36,25,0,2017-18 | Regular Season,28,37,1734,1734,274,253,203,730,247,166,62,61,58,181,192,180,139,511,D,2000-05-24,2000,2000-09-15,2018,2018,Y
"Bowman, Parker",LW,"Rimouski, Océanic",1999-07-09,58,46,2,4,4,10,0,0,1,1,2,3,3,8,15,18,3,2017-18 | Regular Season,25,20,1734,1734,229,216,179,624,208,144,50,50,50,150,162,150,122,434,F,1999-07-09,1999,1999-09-15,2017,2018,N
"Paré, Mathieu",D,"Shawinigan, Cataractes",2000-10-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-18 | Regular Season,0,0,1734,1734,182,170,134,486,219,147,46,44,40,130,128,122,93,343,D,2000-10-03,2000,2000-09-15,2019,2018,N
"Hungerbuhler, Tyler",D,"Saint John, Sea Dogs",2000-03-02,24,10,0,1,0,1,0,0,0,0,0,1,0,1,6,16,0,2017-18 | Regular Season,17,6,1734,1734,179,163,125,467,245,171,46,45,40,131,124,111,81,316,D,2000-03-02,2000,2000-09-15,2018,2018,Y
"Gursoy, Kevin",LW,"Saint John, Sea Dogs",1999-08-04,60,86,11,4,3,18,4,1,1,6,7,3,2,12,30,47,11,2017-18 | Regular Season,65,41,1734,1734,179,163,125,467,245,171,46,45,40,131,124,111,81,316,F,1999-08-04,1999,1999-09-15,2017,2018,N
"Duchesne, Samuel",D,"Chicoutimi, Saguenéens",1999-05-29,37,37,0,1,0,1,0,0,0,0,0,1,0,1,8,20,2,2017-18 | Regular Season,33,11,1734,1734,197,183,144,524,199,127,54,54,50,158,132,123,92,347,D,1999-05-29,1999,1999-09-15,2017,2018,N
"Ton, Cayse",C,"Charlottetown, Islanders",1999-07-28,60,49,5,1,1,7,0,0,0,0,5,1,1,7,14,22,1,2017-18 | Regular Season,24,15,1734,1734,205,189,145,539,206,135,45,44,43,132,141,131,93,365,F,1999-07-28,1999,1999-09-15,2017,2018,N
"Allison, Jaimen",D,"Charlottetown, Islanders",1999-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-18 | Regular Season,0,0,1734,1734,205,189,145,539,206,135,45,44,43,132,141,131,93,365,D,1999-11-01,1999,1999-09-15,2018,2018,Y
"Egan, Taylor",D,"Charlottetown, Islanders",1998-06-09,50,44,4,4,2,10,1,2,0,3,3,2,2,7,25,28,8,2017-18 | Regular Season,41,34,1734,1734,205,189,145,539,206,135,45,44,43,132,141,131,93,365,D,1998-06-09,1998,1998-09-15,2016,2018,N
"Dunda, Liam",RW,"Moncton, Wildcats",1997-09-15,33,56,4,5,4,13,1,0,1,2,1,4,3,8,14,21,3,2017-18 | Regular Season,36,20,1734,1734,233,219,173,625,235,159,66,64,58,188,144,137,109,390,F,1997-09-15,1997,1997-09-15,2015,2018,N
"Berube, Marcel",C,"Charlottetown, Islanders",1999-12-14,31,17,1,3,1,5,0,0,0,0,1,3,1,5,10,12,0,2017-18 | Regular Season,12,10,1734,1734,205,189,145,539,206,135,45,44,43,132,141,131,93,365,F,1999-12-14,1999,1999-09-15,2018,2018,Y
"West, Kyle",LW,"Charlottetown, Islanders",1998-03-28,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2017-18 | Regular Season,1,0,1734,1734,205,189,145,539,206,135,45,44,43,132,141,131,93,365,F,1998-03-28,1998,1998-09-15,2016,2018,N
"Hanna, Quinn",D,"Blainville-Boisbriand, Armada",1999-04-14,32,43,2,1,1,4,0,0,0,0,2,1,1,4,27,13,0,2017-18 | Regular Season,18,27,1734,1734,273,251,195,719,232,150,75,75,70,220,170,158,119,447,D,1999-04-14,1999,1999-09-15,2017,2018,N
"Burt, Robbie",LW,"Saint John, Sea Dogs",1999-05-29,55,103,14,4,8,26,2,0,3,5,11,3,5,19,24,59,13,2017-18 | Regular Season,72,39,1734,1734,179,163,125,467,245,171,46,45,40,131,124,111,81,316,F,1999-05-29,1999,1999-09-15,2017,2018,N
"Deakin-Poot, Nicholas",RW,"Saint John, Sea Dogs",1999-01-28,18,15,2,3,1,6,0,0,0,0,2,3,0,5,6,10,0,2017-18 | Regular Season,11,6,1734,1734,179,163,125,467,245,171,46,45,40,131,124,111,81,316,F,1999-01-28,1999,1999-09-15,2017,2018,N
"Finoro, Giordano",C,"Gatineau, Olympiques",1998-05-17,57,85,16,16,7,39,2,2,2,6,9,12,5,26,35,28,9,2017-18 | Regular Season,59,57,1734,1734,212,192,151,555,235,140,63,62,59,184,126,113,85,324,F,1998-05-17,1998,1998-09-15,2016,2018,N
"Seitz, Dylan",LW,"Moncton, Wildcats",1999-01-15,57,95,17,9,5,31,5,1,0,6,9,7,5,21,27,37,13,2017-18 | Regular Season,58,47,1734,1734,233,219,173,625,235,159,66,64,58,188,144,137,109,390,F,1999-01-15,1999,1999-09-15,2017,2018,N
"Sparkes, Sullivan",C,"Charlottetown, Islanders",1999-05-04,60,99,14,10,5,29,2,0,0,2,12,9,4,25,38,28,8,2017-18 | Regular Season,38,49,1734,1734,205,189,145,539,206,135,45,44,43,132,141,131,93,365,F,1999-05-04,1999,1999-09-15,2017,2018,N
"Stevens, Liam",LW,"Chicoutimi, Saguenéens",1999-04-23,61,90,10,2,5,17,1,0,1,2,9,2,4,15,23,27,4,2017-18 | Regular Season,36,27,1734,1734,197,183,144,524,199,127,54,54,50,158,132,123,92,347,F,1999-04-23,1999,1999-09-15,2017,2018,N
